X_Feature,Y_Feature,X_Index,Y_Index,Correlation,P_value,Abs_Correlation,Significance,Color_Group
P2Wavelength(nm),P3Wavelength(nm),8,9,0.9573344909971165,1.099429461677593e-155,0.9573344909971165,***,Positive
P1Wavelength(nm),P3Wavelength(nm),7,9,0.7698093911154065,1.6357921147236887e-57,0.7698093911154065,***,Positive
P2Width(μm),P3Width(μm),1,2,0.7670048569601003,7.35517466734845e-57,0.7670048569601003,***,Positive
P1Wavelength(nm),P2Wavelength(nm),7,8,0.7573189853764658,1.128631565637843e-54,0.7573189853764658,***,Positive
P3Width(μm),GFF,2,5,-0.5228233396492522,1.5530653272093176e-21,0.5228233396492522,***,Negative
P2Width(μm),GFF,1,5,-0.4436794753789446,2.8477909575732078e-15,0.4436794753789446,***,Negative
GFF,PCE,5,11,0.34402103239346293,2.1458710775402742e-09,0.34402103239346293,***,Positive
total_scribing_line_width(μm),P2_P3Scribing_Spacing(μm),3,4,0.33197250133570366,8.22884519926865e-09,0.33197250133570366,***,Positive
total_scribing_line_width(μm),P1Wavelength(nm),3,7,-0.30451093642063765,1.427182525000372e-07,0.30451093642063765,***,Negative
P2Width(μm),total_scribing_line_width(μm),1,3,0.28855286738617614,6.584066007225742e-07,0.28855286738617614,***,Positive
GFF,P2Wavelength(nm),5,8,0.2815579247978235,1.2502831852720731e-06,0.2815579247978235,***,Positive
GFF,P3Wavelength(nm),5,9,0.262358088054596,6.656660181802039e-06,0.262358088054596,***,Positive
total_scribing_line_width(μm),P3Wavelength(nm),3,9,-0.25078354670888187,1.7165025268922604e-05,0.25078354670888187,***,Negative
laser_energy_density_index,P3Wavelength(nm),6,9,0.24321953403021518,3.111722565965563e-05,0.24321953403021518,***,Positive
laser_energy_density_index,P2Wavelength(nm),6,8,0.24202482049652124,3.412390687258513e-05,0.24202482049652124,***,Positive
total_scribing_line_width(μm),PCE,3,11,-0.22171000906868715,0.0001525697277583639,0.22171000906868715,***,Negative
P3Wavelength(nm),brand,9,10,0.22007428735689238,0.00017113836095362448,0.22007428735689238,***,Positive
total_scribing_line_width(μm),GFF,3,5,-0.2159763381278223,0.0002273540890264394,0.2159763381278223,***,Negative
P3Width(μm),P2Wavelength(nm),2,8,-0.2154409232913009,0.00023585808249410248,0.2154409232913009,***,Negative
total_scribing_line_width(μm),P2Wavelength(nm),3,8,-0.2123281118001016,0.0002914740132660512,0.2123281118001016,***,Negative
P2_P3Scribing_Spacing(μm),P1Wavelength(nm),4,7,-0.20874801417250244,0.00037045402702291634,0.20874801417250244,***,Negative
P2Wavelength(nm),brand,8,10,0.19577948723142494,0.0008543215006303644,0.19577948723142494,***,Positive
GFF,P1Wavelength(nm),5,7,0.18475029493670594,0.001670479152024101,0.18475029493670594,**,Positive
P3Width(μm),total_scribing_line_width(μm),2,3,0.18275827693811028,0.0018782721626940035,0.18275827693811028,**,Positive
P3Width(μm),P1Wavelength(nm),2,7,-0.17861049210911653,0.002388606395750786,0.17861049210911653,**,Negative
P2_P3Scribing_Spacing(μm),brand,4,10,0.17590514744896465,0.002786410908292446,0.17590514744896465,**,Positive
P2_P3Scribing_Spacing(μm),P2Wavelength(nm),4,8,-0.17544719547808285,0.002859418570645981,0.17544719547808285,**,Negative
P3Wavelength(nm),PCE,9,11,0.17204157764798078,0.0034592052153365254,0.17204157764798078,**,Positive
P2Width(μm),P1Wavelength(nm),1,7,-0.16998408275456392,0.0038746142488304777,0.16998408275456392,**,Negative
P2_P3Scribing_Spacing(μm),P3Wavelength(nm),4,9,-0.167507222626398,0.004434177516856748,0.167507222626398,**,Negative
laser_energy_density_index,P1Wavelength(nm),6,7,0.1667834406792779,0.004610916636032207,0.1667834406792779,**,Positive
P3Width(μm),P3Wavelength(nm),2,9,-0.16464502871422854,0.005170765668008289,0.16464502871422854,**,Negative
P2Width(μm),P3Wavelength(nm),1,9,-0.1569468640543096,0.00772697200025129,0.1569468640543096,**,Negative
P2Width(μm),P2Wavelength(nm),1,8,-0.151733234323451,0.010046418176436176,0.151733234323451,*,Negative
brand,PCE,10,11,-0.14661862228746897,0.012901067652536072,0.14661862228746897,*,Negative
P2Wavelength(nm),PCE,8,11,0.1449009300709476,0.01400850310311111,0.1449009300709476,*,Positive
P1Wavelength(nm),brand,7,10,0.14227855769872014,0.015860227647260538,0.14227855769872014,*,Positive
P1Wavelength(nm),PCE,7,11,0.13189096529282643,0.025457222537062278,0.13189096529282643,*,Positive
P2_P3Scribing_Spacing(μm),PCE,4,11,-0.12512782762659916,0.03410034350390551,0.12512782762659916,*,Negative
GFF,brand,5,10,0.08593688918063846,0.14644673385321202,0.08593688918063846,ns,Positive
P3Width(μm),P2_P3Scribing_Spacing(μm),2,4,0.08532827293845499,0.14933766745697055,0.08532827293845499,ns,Positive
P2Width(μm),brand,1,10,-0.0800112945325537,0.1764617560621264,0.0800112945325537,ns,Negative
laser_energy_density_index,PCE,6,11,0.07252114856411553,0.22063632935591646,0.07252114856411553,ns,Positive
GFF,laser_energy_density_index,5,6,0.0665276565927762,0.2612777021208161,0.0665276565927762,ns,Positive
laser_energy_density_index,brand,6,10,-0.0656593660235391,0.2675671506295161,0.0656593660235391,ns,Negative
total_scribing_line_width(μm),laser_energy_density_index,3,6,-0.06562299156748073,0.2678328685706234,0.06562299156748073,ns,Negative
P3Width(μm),brand,2,10,-0.05732954063181681,0.333153441156041,0.05732954063181681,ns,Negative
P2_P3Scribing_Spacing(μm),laser_energy_density_index,4,6,-0.046478155488393125,0.43281858292266273,0.046478155488393125,ns,Negative
total_scribing_line_width(μm),brand,3,10,0.04038666606505522,0.49556422014409895,0.04038666606505522,ns,Positive
P2Width(μm),PCE,1,11,-0.037837936326890385,0.5231830825643373,0.037837936326890385,ns,Negative
P2_P3Scribing_Spacing(μm),GFF,4,5,-0.02368509101847169,0.6894836970384493,0.02368509101847169,ns,Negative
P2Width(μm),laser_energy_density_index,1,6,0.008362749638298817,0.8878240101635778,0.008362749638298817,ns,Positive
P3Width(μm),laser_energy_density_index,2,6,-0.007425407746389653,0.9003279105484453,0.007425407746389653,ns,Negative
P3Width(μm),PCE,2,11,0.0034498150681142223,0.9535983297464538,0.0034498150681142223,ns,Positive
P2Width(μm),P2_P3Scribing_Spacing(μm),1,4,0.00028598327484577734,0.9961512429990027,0.00028598327484577734,ns,Positive
