,P2Width(μm),P3Width(μm),total_scribing_line_width(μm),P2_P3Scribing_Spacing(μm),GFF,laser_energy_density_index,P1Wavelength(nm),P2Wavelength(nm),P3Wavelength(nm),brand,PCE
P2Width(μm),1.0,7.35517466734845e-57,6.584066007225742e-07,0.9961512429990027,2.8477909575732078e-15,0.8878240101635778,0.0038746142488304777,0.010046418176436176,0.00772697200025129,0.1764617560621264,0.5231830825643373
P3Width(μm),7.35517466734845e-57,1.0,0.0018782721626940035,0.14933766745697055,1.5530653272093176e-21,0.9003279105484453,0.002388606395750786,0.00023585808249410248,0.005170765668008289,0.333153441156041,0.9535983297464538
total_scribing_line_width(μm),6.584066007225742e-07,0.0018782721626940035,1.0,8.22884519926865e-09,0.0002273540890264394,0.2678328685706234,1.427182525000372e-07,0.0002914740132660512,1.7165025268922604e-05,0.49556422014409895,0.0001525697277583639
P2_P3Scribing_Spacing(μm),0.9961512429990027,0.14933766745697055,8.22884519926865e-09,1.0,0.6894836970384493,0.43281858292266273,0.00037045402702291634,0.002859418570645981,0.004434177516856748,0.002786410908292446,0.03410034350390551
GFF,2.8477909575732078e-15,1.5530653272093176e-21,0.0002273540890264394,0.6894836970384493,1.0,0.2612777021208161,0.001670479152024101,1.2502831852720731e-06,6.656660181802039e-06,0.14644673385321202,2.1458710775402742e-09
laser_energy_density_index,0.8878240101635778,0.9003279105484453,0.2678328685706234,0.43281858292266273,0.2612777021208161,1.0,0.004610916636032207,3.412390687258513e-05,3.111722565965563e-05,0.2675671506295161,0.22063632935591646
P1Wavelength(nm),0.0038746142488304777,0.002388606395750786,1.427182525000372e-07,0.00037045402702291634,0.001670479152024101,0.004610916636032207,1.0,1.128631565637843e-54,1.6357921147236887e-57,0.015860227647260538,0.025457222537062278
P2Wavelength(nm),0.010046418176436176,0.00023585808249410248,0.0002914740132660512,0.002859418570645981,1.2502831852720731e-06,3.412390687258513e-05,1.128631565637843e-54,1.0,1.099429461677593e-155,0.0008543215006303644,0.01400850310311111
P3Wavelength(nm),0.00772697200025129,0.005170765668008289,1.7165025268922604e-05,0.004434177516856748,6.656660181802039e-06,3.111722565965563e-05,1.6357921147236887e-57,1.099429461677593e-155,1.0,0.00017113836095362448,0.0034592052153365254
brand,0.1764617560621264,0.333153441156041,0.49556422014409895,0.002786410908292446,0.14644673385321202,0.2675671506295161,0.015860227647260538,0.0008543215006303644,0.00017113836095362448,1.0,0.012901067652536072
PCE,0.5231830825643373,0.9535983297464538,0.0001525697277583639,0.03410034350390551,2.1458710775402742e-09,0.22063632935591646,0.025457222537062278,0.01400850310311111,0.0034592052153365254,0.012901067652536072,1.0
